,0
0,A81001
1,A81002
2,A81003
3,A81004
4,A81005
5,A81006
6,A81007
7,A81008
8,A81009
9,A81011
10,A81012
11,A81013
12,A81014
13,A81015
14,A81016
15,A81017
16,A81018
17,A81019
18,A81020
19,A81021
20,A81022
21,A81023
22,A81025
23,A81026
24,A81027
25,A81029
26,A81030
27,A81031
28,A81032
29,A81033
30,A81034
31,A81035
32,A81036
33,A81037
34,A81038
35,A81039
36,A81040
37,A81041
38,A81042
39,A81043
40,A81044
41,A81045
42,A81046
43,A81047
44,A81048
45,A81049
46,A81051
47,A81052
48,A81053
49,A81054
50,A81056
51,A81057
52,A81058
53,A81060
54,A81063
55,A81064
56,A81065
57,A81066
58,A81067
59,A81069
60,A81070
61,A81602
62,A81605
63,A81608
64,A81609
65,A81610
66,A81611
67,A81612
68,A81613
69,A81618
70,A81620
71,A81621
72,A81622
73,A81623
74,A81629
75,A81630
76,A81631
77,A81632
78,A81634
79,A82003
80,A82004
81,A82005
82,A82006
83,A82007
84,A82008
85,A82009
86,A82010
87,A82011
88,A82012
89,A82013
90,A82014
91,A82015
92,A82016
93,A82017
94,A82018
95,A82019
96,A82020
97,A82021
98,A82022
99,A82023
100,A82024
101,A82025
102,A82026
103,A82027
104,A82028
105,A82029
106,A82030
107,A82031
108,A82032
109,A82033
110,A82034
111,A82035
112,A82036
113,A82037
114,A82038
115,A82039
116,A82040
117,A82041
118,A82042
119,A82044
120,A82045
121,A82046
122,A82047
123,A82048
124,A82049
125,A82050
126,A82052
127,A82053
128,A82055
129,A82057
130,A82058
131,A82060
132,A82062
133,A82063
134,A82064
135,A82065
136,A82068
137,A82070
138,A82071
139,A82072
140,A82074
141,A82075
142,A82077
143,A82607
144,A82608
145,A82613
146,A82614
147,A82617
148,A82619
149,A82620
150,A82621
151,A82623
152,A82625
153,A82629
154,A82630
155,A82631
156,A82632
157,A82635
158,A82641
159,A82642
160,A82645
161,A82646
162,A82647
163,A82649
164,A82650
165,A82651
166,A82654
167,A83001
168,A83003
169,A83004
170,A83005
171,A83006
172,A83007
173,A83008
174,A83009
175,A83010
176,A83011
177,A83012
178,A83013
179,A83014
180,A83015
181,A83016
182,A83017
183,A83018
184,A83019
185,A83020
186,A83021
187,A83022
188,A83023
189,A83024
190,A83025
191,A83026
192,A83027
193,A83028
194,A83029
195,A83030
196,A83031
197,A83032
198,A83033
199,A83034
200,A83035
201,A83036
202,A83037
203,A83038
204,A83040
205,A83041
206,A83042
207,A83043
208,A83044
209,A83045
210,A83046
211,A83047
212,A83048
213,A83049
214,A83050
215,A83051
216,A83052
217,A83054
218,A83055
219,A83057
220,A83060
221,A83061
222,A83066
223,A83068
224,A83070
225,A83071
226,A83072
227,A83073
228,A83074
229,A83075
230,A83076
231,A83603
232,A83610
233,A83616
234,A83617
235,A83618
236,A83619
237,A83622
238,A83626
239,A83627
240,A83630
241,A83632
242,A83634
243,A83635
244,A83636
245,A83637
246,A83638
247,A83639
248,A83641
249,A83644
250,A84002
251,A84003
252,A84005
253,A84006
254,A84007
